split,parent_label,label,video_path,include_50,local_exists
train,Greetings,55. Thank you,Greetings/55. Thank you/MVI_9951.MOV,False,True
train,Greetings,55. Thank you,Greetings/55. Thank you/MVI_9984.MOV,False,True
train,Greetings,55. Thank you,Greetings/55. Thank you/MVI_9985.MOV,False,True
train,Greetings,55. Thank you,Greetings/55. Thank you/MVI_9986.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0010.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0011.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0062.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0063.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0065.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0066.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0067.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0114.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0115.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0116.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_9953.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_9955.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_9988.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_9989.MOV,False,True
train,Greetings,56. Pleased,Greetings/56. Pleased/MVI_9990.MOV,False,True
val,Greetings,48. Hello,Greetings/48. Hello/MVI_0039.MOV,False,True
val,Greetings,48. Hello,Greetings/48. Hello/MVI_9984.MOV,False,True
val,Greetings,49. How are you,Greetings/49. How are you/MVI_9962.MOV,False,True
val,Greetings,49. How are you,Greetings/49. How are you/MVI_9987.MOV,False,True
val,Greetings,50. Alright,Greetings/50. Alright/MVI_0039.MOV,False,True
val,Greetings,50. Alright,Greetings/50. Alright/MVI_9988.MOV,False,True
val,Greetings,51. Good Morning,Greetings/51. Good Morning/MVI_9935.MOV,False,True
val,Greetings,51. Good Morning,Greetings/51. Good Morning/MVI_9971.MOV,False,True
val,Greetings,52. Good afternoon,Greetings/52. Good afternoon/MVI_9936.MOV,False,True
val,Greetings,52. Good afternoon,Greetings/52. Good afternoon/MVI_9937.MOV,False,True
val,Greetings,53. Good evening,Greetings/53. Good evening/MVI_0053.MOV,False,True
val,Greetings,54. Good night,Greetings/54. Good night/MVI_0004.MOV,False,True
val,Greetings,54. Good night,Greetings/54. Good night/MVI_0055.MOV,False,True
val,Greetings,55. Thank you,Greetings/55. Thank you/MVI_9950.MOV,False,True
val,Greetings,55. Thank you,Greetings/55. Thank you/MVI_9987.MOV,False,True
val,Greetings,56. Pleased,Greetings/56. Pleased/MVI_0068.MOV,False,True
val,Greetings,56. Pleased,Greetings/56. Pleased/MVI_9952.MOV,False,True
